city_key,city,start_date,end_date,n_days,boundary_path,bbox_west,bbox_south,bbox_east,bbox_north
auckland,Auckland,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\auckland\city.shp,174.16183610072102,-37.2924320832104,175.5506532837391,-35.898924166583996
bandar_seri_begawan,Bandar Seri Begawan,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\bandar_seri_begawan\city.shp,114.7720956,4.7304964,115.0933172,5.0463937
bangkok,Bangkok,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\bangkok\city.shp,100.31999206500018,13.492500306000181,100.939056397,13.954251289000183
brisbane,Brisbane,2024-01-01,2024-01-31,31,D:\codex诊断\boundary\brisbane\city.shp,152.07339899338356,-28.363866924603474,153.54671354287356,-26.4523263735014
chengdu,Chengdu,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\chengdu\city.shp,103.02284930025507,30.09300439973333,104.89169409990285,31.437096799977382
dhaka,Dhaka,2024-01-01,2024-01-31,31,D:\codex诊断\boundary\dhaka\city.shp,90.00462592300005,23.526698009000143,90.51198070400017,24.045746634000068
doha,Doha,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\doha\city2.shp,51.27227503900008,25.149894835000055,51.64808193600004,25.46579124400006
dubai,Dubai,2024-01-01,2024-01-31,31,D:\codex诊断\boundary\dubai\city.shp,54.89107132000004,24.795479309000143,55.564983369000004,25.374353000000042
ho_chi_minh,Ho Chi Minh,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\ho_chi_minh\city.shp,106.08809480000014,8.577512600000148,107.57192800000013,11.501040000000103
hong_kong,Hong Kong,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\hong_kong\city.shp,113.83458700000006,22.153193999000166,114.44097100000022,22.562094000000116
jakarta,Jakarta,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\jakarta\city.shp,106.6862106320001,-6.370782851999934,106.97282409700017,-6.0890359869999315
kuala_lumpur,Kuala Lumpur,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\kuala_lumpur\city2.shp,101.19813206800006,2.867747526000073,101.96873191300006,3.401730332000056
manila,Manila,2024-01-01,2024-01-31,31,D:\codex诊断\boundary\manila\city.shp,120.90639543200007,14.351729568000053,121.13503641400007,14.785291728000061
melbourne,Melbourne,2024-01-01,2024-01-31,31,D:\codex诊断\boundary\melbourne\city.shp,144.33364011453114,-38.50297485653073,145.87841778979174,-37.175085805161764
mumbai,Mumbai,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\mumbai\city.shp,72.77597045800013,18.890695572000084,72.98468017600015,19.269216537000034
osaka,Osaka,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\osaka\city.shp,135.09373248900008,34.27316964000008,135.746288691,35.05047797900008
riyadh,Riyadh,2024-01-01,2024-01-31,31,D:\codex诊断\boundary\riyadh\city.shp,46.31679,24.2200399,47.74305,25.2672799
seoul,Seoul,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\seoul\city.shp,126.76448395900024,37.42880858700016,127.183539171,37.70145528300003
shanghai,Shanghai,2024-10-01,2024-10-31,31,D:\codex诊断\boundary\shanghai\city.shp,120.8581619260001,30.555139999000062,122.24319500000001,31.869307000000106
shenzhen,Shenzhen,2024-10-01,2024-10-31,31,D:\codex诊断\boundary\shenzhen\city.shp,113.75183000015443,22.446433299757018,114.62301990004846,22.864404300318256
singapore,Singapore,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\singapore\city.shp,103.60905500000018,1.1663900010000248,104.08580000000006,1.471388000000104
sydney,Sydney,2024-01-01,2024-01-31,31,D:\codex诊断\boundary\sydney\city.shp,150.65326052272124,-34.11833429065917,151.343026423573,-33.57812832598371
tehran,Tehran,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\tehran\city.shp,50.16315170000013,34.865238700000134,53.15690310000019,36.342214200000114
toshkent,Toshkent,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\toshkent\city.shp,69.121797,41.1577334,69.525908,41.4224955
ulaanbaatar,Ulaanbaatar,2023-10-01,2023-10-31,31,D:\codex诊断\boundary\ulaanbaatar\city.shp,106.36260900000013,47.30195808400009,108.50078010600015,48.271930999999995
