effect,term,estimate,std.error,statistic,df,p.value,conf.low,conf.high,model,outcome
fixed,(Intercept),1.29999595061029,0.0884602390945042,14.6958222577431,12.939345702614,1.88799935702784e-09,1.10879811901588,1.4911937822047,complete_log_male_night,log_male_night
fixed,ntl_mean_log_z,0.107035951384529,0.00495831024026956,21.5871831728524,128847.275873383,3.61519496757238e-103,0.0973177505986672,0.11675415217039,complete_log_male_night,log_male_night
fixed,ssx_choice_r5000_z,0.259715444246203,0.00453742053734074,57.238565856718,121254.310229047,0,0.250822174637394,0.268608713855012,complete_log_male_night,log_male_night
fixed,NDVI_mean_z,-0.15379683,0.00678071929128851,-22.68149195,122309.50662684,1.17274564050796e-113,-0.167086927,-0.140506733,complete_log_male_night,log_male_night
fixed,walkability_global_z,0.260828790460684,0.00459635362477752,56.746893679946,126873.12587468,0,0.251820016952574,0.269837563968795,complete_log_male_night,log_male_night
fixed,built_density_2020_z,-0.002675161,0.00585061968091784,-0.457244038,131042.612008863,0.647496406620408,-0.014142271,0.00879194881064387,complete_log_male_night,log_male_night
fixed,gdp_2022_z,0.0464927099730456,0.00589716473871317,7.88390896863274,119534.511775767,3.19951281406056e-15,0.0349343624384993,0.0580510575075919,complete_log_male_night,log_male_night
fixed,Pop_Female_20_50_z,-0.344020721,0.00711513898516563,-48.35052725,122675.488256815,0,-0.357966275,-0.330075168,complete_log_male_night,log_male_night
fixed,Female_Employment_Rate_15plus_z,0.249613941994061,0.107015535158198,2.33250192717408,13.1748933794206,0.0361545743635564,0.0187325230422893,0.480495360945834,complete_log_male_night,log_male_night
fixed,ppl35prop_z,0.127287245698994,0.00142326173822969,89.4334768370287,1094168.26195628,0,0.124497700865706,0.130076790532282,complete_log_male_night,log_male_night
fixed,SDG11_71pct_z,0.293944887302931,0.0866966906346929,3.39049720526823,13.2838189717516,0.00469753480742731,0.107054051255498,0.480835723350364,complete_log_male_night,log_male_night
fixed,SDG_3_1_Maternal_mortality_ratio_z,-0.00263574,0.110492392861725,-0.023854491,12.835167281863,0.981335547627618,-0.241652035,0.236380555185802,complete_log_male_night,log_male_night
fixed,SDG_3_7_Adolescent_birth_rate_z,0.0747479259713201,0.0988458130853641,0.756207305480578,12.9767131149582,0.463032762779761,-0.138834431,0.288330283025435,complete_log_male_night,log_male_night
fixed,SDG_5_5_Share_of_seats_in_parliament_z,0.0199487503036664,0.0918460669247898,0.217197654418908,13.0510748813327,0.831412935163215,-0.178393708,0.218291208356968,complete_log_male_night,log_male_night
fixed,SDG_4_4_Education_F_z,-0.148289568,0.0879549268730299,-1.685972274,14.1987971687599,0.113641612110913,-0.336686636,0.0401075002332985,complete_log_male_night,log_male_night
fixed,tavg_night_z,0.135252097549234,0.00273605566782066,49.433240390524,963534.523738594,0,0.129889520244292,0.140614674854177,complete_log_male_night,log_male_night
fixed,prcp_night_z,0.0178839716048195,0.00110107016065332,16.2423542512568,1023186.85633551,2.57396281157488e-59,0.0157259111926397,0.0200420320169994,complete_log_male_night,log_male_night
fixed,wspd_night_z,-0.047246236,0.00191699129114865,-24.64603592,1022016.77822056,4.44299175336508e-134,-0.051003475,-0.043488998,complete_log_male_night,log_male_night
fixed,pres_night_z,-0.000834012,0.00133834566311072,-0.623166713,1023468.07667428,0.533175112350101,-0.003457125,0.00178909993294016,complete_log_male_night,log_male_night
fixed,rhum_night_z,-0.057637963,0.00157427835481562,-36.61230713,1019916.03128592,2.83120767992466e-293,-0.060723495,-0.05455243,complete_log_male_night,log_male_night
fixed,Safety_Walk_Night_z,-0.263247236,0.0783814206161004,-3.358541274,12.9538551503916,0.00515876442778528,-0.432641339,-0.093853134,complete_log_male_night,log_male_night
fixed,ulpi_z,-0.020385023,0.0697880040362264,-0.292099235,13.2566288850739,0.774732024837654,-0.170856687,0.130086641610098,complete_log_male_night,log_male_night
fixed,ntl_alpha_z,-0.007170822,0.0783062411113535,-0.091574082,12.9646453910242,0.928436264377379,-0.176388078,0.162046434135547,complete_log_male_night,log_male_night
fixed,ntl_D_z,-0.039425044,0.112779518130007,-0.349576273,13.1313885346514,0.73219936182888,-0.282822798,0.203972710643561,complete_log_male_night,log_male_night
fixed,ntl_c_z,-0.035421823,0.0795258342096362,-0.445412783,12.9278303422685,0.663388837804312,-0.207324489,0.136480843095682,complete_log_male_night,log_male_night
fixed,is_weekend,-0.091485387,0.0022172955601349,-41.25989711,1029130.19071459,0,-0.095831211,-0.087139562,complete_log_male_night,log_male_night
