City,UNDP GII,Nightlight morphology,Female-to-male PA ratio change (%),Regime
Singapore,0.031,Type I: Compact-Core,-0.96 [-1.58--0.20],C. gain-but-gap
Seoul,0.038,Type III: Mega-Sprawl,8.05 [5.07-12.04],"B. strong gains, modest equity"
Hong Kong,0.039,Type II: Diffuse-Moderate,6.20 [4.03-8.89],"B. strong gains, modest equity"
Dubai,0.04,Type I: Compact-Core,37.46 [29.38-47.89],A. dim-and-gain / large ratio gain
Sydney,0.056,Type I: Compact-Core,1.28 [0.59-1.97],"B. strong gains, modest equity"
Melbourne,0.056,Type I: Compact-Core,2.86 [2.03-3.76],"B. strong gains, modest equity"
Brisbane,0.056,Type I: Compact-Core,-3.35 [-3.93--2.83],C. gain-but-gap
Osaka,0.059,Type I: Compact-Core,107.54 [85.81-136.44],A. dim-and-gain / large ratio gain
Auckland,0.082,Type I: Compact-Core,1.57 [1.15-2.44],"B. strong gains, modest equity"
Shanghai,0.132,Type II: Diffuse-Moderate,181.35 [141.00-234.88],A. dim-and-gain / large ratio gain
Shenzhen,0.132,Type I: Compact-Core,616.91 [496.47-781.27],A. dim-and-gain / large ratio gain
Chengdu,0.132,Type II: Diffuse-Moderate,192.90 [156.97-243.36],A. dim-and-gain / large ratio gain
Kuala Lumpur,0.172,Type III: Mega-Sprawl,4.93 [3.55-6.24],"B. strong gains, modest equity"
Doha,0.195,Type III: Mega-Sprawl,12.09 [8.76-16.36],A. dim-and-gain / large ratio gain
Riyadh,0.228,Type III: Mega-Sprawl,227.87 [180.47-291.49],A. dim-and-gain / large ratio gain
Bandar Seri Begawan,0.257,Type II: Diffuse-Moderate,0.55 [0.48-0.61],"B. strong gains, modest equity"
Ulaanbaatar,0.284,Type III: Mega-Sprawl,2.90 [-9.02-16.96],"B. strong gains, modest equity"
Bangkok,0.288,Type II: Diffuse-Moderate,0.81 [-0.62-2.47],"B. strong gains, modest equity"
Tashkent,0.291,Type II: Diffuse-Moderate,397.75 [316.36-510.98],A. dim-and-gain / large ratio gain
Ho Chi Minh City,0.299,Type III: Mega-Sprawl,0.92 [0.38-1.49],"B. strong gains, modest equity"
Manila,0.351,Type II: Diffuse-Moderate,4.82 [3.17-6.70],"B. strong gains, modest equity"
Mumbai,0.403,Type II: Diffuse-Moderate,119.62 [95.73-150.96],A. dim-and-gain / large ratio gain
Jakarta,0.423,Type II: Diffuse-Moderate,1.83 [1.02-2.70],"B. strong gains, modest equity"
Tehran,0.482,Type III: Mega-Sprawl,22.52 [16.04-31.11],A. dim-and-gain / large ratio gain
Dhaka,0.487,Type III: Mega-Sprawl,248.81 [201.20-309.41],A. dim-and-gain / large ratio gain
