City,GII group,Region,Nightlight morphology,Net ALAN change (%),Gross ALAN adjustment (% baseline ALAN),Gross dimming (% baseline ALAN),Gross brightening (% baseline ALAN),Adjusted grids (%),Dimmed grids (%),Brightened grids (%),Female PA gain total (counts/day),Female PA change total (%),Female-to-male PA ratio change (%),Female-enabled footprint gain (km2),Female footprint share change (pp),Gender-mixed footprint gain (km2),Gender-mixed footprint share change (pp)
Singapore,Low GII,Southeast Asia,Type I: Compact-Core,-1.590393052151911,11.12252715287014,6.356460102511034,4.766067050359111,15.08374384236453,7.408866995073891,7.674876847290641,"4,573.8 [4,332.3-4,810.0]",10.16 [9.62-10.69],-0.96 [-1.58--0.20],0.92 [0.00-3.46],0.23 [0.00-0.85],0.48 [0.00-1.88],0.25 [0.02-0.87]
Seoul,Low GII,East Asia,Type III: Mega-Sprawl,-2.003134514006808,14.00837217512056,8.00575334456368,6.002618830556884,29.72362067194082,12.19562313777869,17.52799753416213,"2,220.5 [1,976.3-2,545.6]",23.93 [21.30-27.44],8.05 [5.07-12.04],60.08 [59.12-61.18],15.43 [15.19-15.71],17.20 [16.88-17.84],15.49 [15.25-15.77]
Hong Kong,Low GII,East Asia,Type II: Diffuse-Moderate,-3.165204111927841,22.11435930626195,12.63978170909489,9.474577597167062,37.5477842276653,13.26631742885459,24.2814667988107,"1,803.4 [1,560.3-2,098.5]",15.19 [13.14-17.67],6.20 [4.03-8.89],62.80 [61.86-63.44],22.23 [21.90-22.46],11.68 [11.64-11.68],22.27 [21.95-22.48]
Dubai,Low GII,West Asia / Middle East,Type I: Compact-Core,-1.899609492955505,13.25062077600654,7.575115134481012,5.675505641525525,23.31039151528828,13.09940200834932,10.21098950693896,"1,218.7 [996.8-1,509.0]",44.93 [36.75-55.63],37.46 [29.38-47.89],34.88 [32.85-35.64],9.84 [9.27-10.05],16.48 [15.22-17.08],9.73 [9.29-9.80]
Sydney,Low GII,Oceania,Type I: Compact-Core,-1.053617039064966,7.316425808867741,4.185021423966358,3.131404384901382,4.226589087715446,1.646723021187836,2.57986606652761,"4,022.3 [3,806.6-4,243.2]",12.65 [11.97-13.34],1.28 [0.59-1.97],0.00 [0.00-14.28],0.00 [0.00-1.31],0.00 [0.00-7.43],0.14 [0.14-1.44]
Melbourne,Low GII,Oceania,Type I: Compact-Core,-1.309131519269233,9.13773849345782,5.223435006363529,3.914303487094292,3.490993455755214,1.610891024097704,1.88010243165751,"2,472.8 [2,300.2-2,665.0]",10.79 [10.04-11.63],2.86 [2.03-3.76],11.40 [10.28-12.70],0.62 [0.56-0.69],8.04 [7.24-8.82],0.78 [0.75-0.83]
Brisbane,Low GII,Oceania,Type I: Compact-Core,-1.493593412975049,10.45136791097465,5.972480661974845,4.478887248999802,4.886665733874353,1.85042675248356,3.036238981390793,"3,947.2 [3,706.8-4,163.3]",8.58 [8.06-9.05],-3.35 [-3.93--2.83],0.00 [0.00-0.00],0.00 [0.00-0.00],0.00 [0.00-0.00],0.31 [0.30-0.31]
Osaka,Low GII,East Asia,Type I: Compact-Core,-1.952986575200492,13.63641909372134,7.794702834460925,5.841716259260417,17.02294567562267,8.040792312218082,8.982153363404588,"924.0 [752.8-1,139.1]",128.05 [104.32-157.85],107.54 [85.81-136.44],17.92 [17.84-20.34],8.79 [8.75-9.97],6.84 [6.84-8.72],8.79 [8.75-9.97]
Auckland,Medium GII,Oceania,Type I: Compact-Core,-1.059535717133378,7.355659771193916,4.207597744163639,3.148062027030277,3.904937856902921,0.8901578770574404,3.014779979845482,301.0 [280.2-326.1],5.41 [5.03-5.86],1.57 [1.15-2.44],7.28 [5.62-8.46],1.53 [1.18-1.78],3.76 [2.96-4.36],1.72 [1.41-1.93]
Shanghai,Medium GII,East Asia,Type II: Diffuse-Moderate,-4.066947040214637,28.34665693098079,16.20680198559771,12.13985494538308,40.20843431895298,18.25012118274358,21.95831313620941,"1,166.0 [931.1-1,499.8]",206.21 [164.67-265.24],181.35 [141.00-234.88],36.16 [35.00-37.30],21.91 [21.21-22.60],19.28 [18.36-20.60],20.67 [20.32-21.10]
Shenzhen,Medium GII,East Asia,Type I: Compact-Core,-4.189272122823464,29.05757710230137,16.62342461256241,12.43415248973896,38.99512560929884,13.49831271091114,25.4968128983877,659.0 [535.4-819.0],"815.32 [662.35-1,013.20]",616.91 [496.47-781.27],27.20 [27.20-27.20],25.50 [25.50-25.50],0.20 [0.20-0.20],25.50 [25.50-25.50]
Chengdu,Medium GII,East Asia,Type II: Diffuse-Moderate,-1.622625040344937,11.32867591058228,6.475650475463607,4.853025435118672,12.07263115554789,4.706085157731426,7.366545997816468,"1,234.2 [998.9-1,530.6]",211.21 [170.95-261.95],192.90 [156.97-243.36],51.20 [49.53-52.74],7.36 [7.12-7.58],23.36 [22.62-24.97],7.36 [7.13-7.58]
Kuala Lumpur,Medium GII,Southeast Asia,Type III: Mega-Sprawl,-2.032258736832716,14.21974645004127,8.126002593436988,6.093743856604284,21.18836393645553,8.376315246544253,12.81204868991129,"1,045.2 [741.9-1,367.4]",4.18 [2.96-5.46],4.93 [3.55-6.24],22.32 [21.92-22.84],11.51 [11.31-11.78],13.36 [13.08-13.64],11.55 [11.39-11.82]
Doha,Medium GII,West Asia / Middle East,Type III: Mega-Sprawl,-2.860637882016146,19.88407372191946,11.37235580196781,8.511717919951659,40.64942874323512,19.5429945880938,21.10643415514131,266.3 [208.6-344.2],14.69 [11.50-18.99],12.09 [8.76-16.36],12.24 [11.04-12.72],18.40 [16.60-19.12],8.80 [7.88-9.06],16.18 [14.85-16.66]
Riyadh,Medium GII,West Asia / Middle East,Type III: Mega-Sprawl,-2.974594514830484,20.7125337944586,11.84356415464455,8.868969639814054,38.87002909796314,19.01066925315228,19.85935984481086,"1,066.3 [857.4-1,353.4]",263.38 [211.78-334.29],227.87 [180.47-291.49],32.56 [27.09-36.26],19.74 [16.43-21.98],9.60 [7.56-11.00],17.22 [16.17-18.26]
Bandar Seri Begawan,Medium GII,Southeast Asia,Type II: Diffuse-Moderate,-0.1041818777510995,0.4341108167022589,0.2691463472266791,0.1649644694755797,0.3625377643504531,0.0604229607250755,0.3021148036253776,3.6 [3.4-3.7],1.29 [1.22-1.35],0.55 [0.48-0.61],0.00 [0.00-0.00],0.00 [0.00-0.00],0.00 [0.00-0.00],0.00 [0.00-0.00]
Ulaanbaatar,High GII,South / Central Asia,Type III: Mega-Sprawl,-1.520290543584153,10.56051324828511,6.040401895934632,4.52011135235048,18.9094107299912,4.925241864555849,13.98416886543536,65.6 [54.4-79.2],81.96 [68.05-98.96],2.90 [-9.02-16.96],6.28 [6.28-6.28],13.81 [13.81-13.81],1.20 [1.20-1.20],13.98 [13.98-13.98]
Bangkok,High GII,Southeast Asia,Type II: Diffuse-Moderate,-1.941953833603471,13.55242410099125,7.747188967297362,5.805235133693885,15.85994677312042,8.632734530938123,7.227212242182302,"2,990.2 [2,741.4-3,282.7]",17.69 [16.22-19.42],0.81 [-0.62-2.47],25.40 [24.08-26.84],5.28 [5.01-5.58],6.60 [6.44-7.52],5.33 [5.08-5.62]
Tashkent,High GII,South / Central Asia,Type II: Diffuse-Moderate,-2.501397120394308,17.12218945095302,9.811793285673668,7.310396165279353,22.91666666666667,12.58680555555556,10.32986111111111,215.5 [174.6-268.3],581.33 [470.82-723.61],397.75 [316.36-510.98],4.72 [4.60-4.88],10.24 [9.98-10.59],1.60 [1.56-1.64],10.24 [9.98-10.59]
Ho Chi Minh City,High GII,Southeast Asia,Type III: Mega-Sprawl,-1.22793694581364,8.590252962670807,4.90909495424223,3.681158008428577,10.80589526497335,4.77892756349953,6.026967701473816,"1,984.0 [1,831.0-2,127.1]",4.89 [4.52-5.25],0.92 [0.38-1.49],19.60 [14.42-25.54],3.07 [2.26-4.00],11.16 [8.09-15.10],3.59 [2.86-4.46]
Manila,High GII,Southeast Asia,Type II: Diffuse-Moderate,-2.113842992765121,14.63521727821001,8.374530135487573,6.260687142722434,30.00648088139987,8.295528191834089,21.71095268956578,232.2 [175.2-292.4],6.85 [5.17-8.62],4.82 [3.17-6.70],13.08 [13.04-13.20],21.19 [21.13-21.39],8.48 [8.48-8.56],21.19 [21.13-21.39]
Mumbai,High GII,South / Central Asia,Type II: Diffuse-Moderate,-1.746506003695699,12.05684141665629,6.901673710175993,5.155167706480298,26.24671916010499,14.67629046369204,11.57042869641295,585.0 [475.8-725.7],139.62 [113.56-173.19],119.62 [95.73-150.96],21.12 [21.12-21.12],11.55 [11.55-11.55],7.60 [7.60-7.60],11.55 [11.55-11.55]
Jakarta,High GII,Southeast Asia,Type II: Diffuse-Moderate,-0.8597760668880995,5.995550066787742,3.427663066837931,2.567886999949812,11.69842245441508,2.724851464863757,8.973570989551321,481.3 [331.3-645.0],2.32 [1.60-3.11],1.83 [1.02-2.70],33.32 [29.42-41.04],8.53 [7.53-10.51],16.60 [14.90-20.66],8.59 [7.59-10.57]
Tehran,High GII,West Asia / Middle East,Type III: Mega-Sprawl,-1.629510609309723,11.27750422448973,6.453507416899726,4.823996807590001,19.91358994501178,12.41162608012569,7.501963864886096,707.5 [601.1-839.6],49.65 [42.19-58.92],22.52 [16.04-31.11],14.32 [11.72-18.00],7.03 [5.75-8.84],2.36 [1.96-3.34],7.05 [5.78-8.86]
Dhaka,High GII,South / Central Asia,Type III: Mega-Sprawl,-0.5999844407412523,4.078629323329921,2.339306882035589,1.739322441294332,4.997192588433465,2.302077484559236,2.695115103874228,99.0 [80.3-123.1],253.49 [205.57-315.17],248.81 [201.20-309.41],3.84 [3.62-4.20],2.70 [2.54-2.95],2.24 [2.20-2.64],2.70 [2.54-2.95]
All cities,All,All,All,-2.010015082182051,14.01076478908329,8.01038993563267,6.00037485345062,19.71594188628201,8.591528194265061,11.12441369201695,"34,284.7 [30,941.1-37,637.2]",11.90 [10.74-13.06],3.19 [1.98-4.58],518.64 [503.48-548.83],5.28 [5.12-5.58],196.92 [190.98-213.97],5.33 [5.20-5.63]
